name;location;description
Balıkaşıran Koyu;28.0343628,36.7892161;Balikasiran Koyu, Datca, Mugla.Kaynak: https://www.instagram.com/erkanballi/
İçmeler;28.2349706,36.8017166;Marmaris Icmeler, MuglaKaynak: https://www.instagram.com/yavasoguzhan/
Beşparmak Dağı;27.8499126,37.416834;Besparmak Dagi, Bafa golunun dogusunda, Bati Mentese Daglari sisteminde yer alan dag. Aydin ve Mugla topraklarina yayilan dagin en yuksek yeri 1375 m ile Tekerlekdag'dir.Kaynak: https://www.instagram.com/burcikici/
Palazoglu Göleti;29.6391662999999,39.8642767;Kutahya Domanic'e 40 km uzaklikta bulunan Palazoglu Goleti  Kutahya merkeze 100 km, Bursa merkeze ise 81 km uzaklikta bulunmaktadir. Kamp ve doga sporlari yapmak icin oldukca uygun olan Palazoglu Goleti'nin cevresinde dogal yuruyus yollari vardir. Domanic Ormanlari'nin arasinda buyuleyen guzelligiyle adindan sikca bahsettiren Palazoglu Goleti'nde piknik alanlari da yer almaktadir. Yabani hayvan bakimindan oldukca zengin olan bolgede kamp yaparken dikkatli olmakta fayda vardir. Palazoglu Goleti'nde cevremizi temiz tutmayi unutmayalim. Kaynak: https://www.instagram.com/bushcloves/
Dilek Yarımadası Büyük Menderes Deltası Milli Parkı;28.5638201,37.5404089;Bozdogan Kemer Baraji, Arapapisti Kanyonu, Aydin.Kaynak: https://www.instagram.com/seling/
Spil Dağı;27.4546194,38.5673611;Spil Dagi, Manisa merkezden kuzey yolunu izleyerek 24 km, Izmir merkezden guney yolunu izleyerek yaklasik 50 km uzaklikta, ismi Manisa ile ozdeslesmis, tarih, mitoloji ve flora bakimindan cok zengin bir dagdir. Yukseligi 1513 metredir.Manisa Spil Dagi Milli Parki'nin dogusunda 600 metre yukseklikte bulunan Suluklu Gol essiz dogasiyla tam bir kafa dinleme yeridir. Gole gelmisken dilerseniz Yarikkaya kanyonunu ziyaret edip kanyon gecisi de yapabilirsiniz. Kamp yapmak icin ideal noktalardir.Spil Dagi, Manisa merkezden kuzey yolunu izleyerek 24 km, Izmir merkezden guney yolunu izleyerek yaklasik 50 km uzaklikta, ismi Manisa ile ozdeslesmis, tarih, mitoloji ve flora bakimindan cok zengin bir dagdir.  Spil Dagi, Gediz Nehri ovasinin 60 metrelik seviyesinden baslayarak Karadag zirvesinde 1517 metre yukseklige ulasir. Dagin cevresinde derin vadiler ve bunlarin icinde dere yataklari bulunmaktadir. Dagin bitki ortusu ormanliktir.  Manisa lalesi gibi endemik turler de dahil olmak uzere, zengin bir floraya sahiptir.  Unlu yaban atlarinin yani sira, diger yaban hayvani turleri de mevcuttur. Spil Dagi'nda ayrica bircok magara da bulunmaktadir.  Milli Park'in dogusunda 600 m yukseklikte bulunan ve suluk dolu oldugu icin "Suluklu Gol" olarak adlandirilan bir gol bulunmaktadir. Atalani Mevkii'nde dag evleri, piknik - oyun alanlari, bir kir kahvesi ve lokanta bulunmaktadir. Gunubirlik kullanimin yanisira, ziyaretcilerin Atalani'ndaki kamp yerinde kendi cadir ve karavanlariyla kalmalari veya rezervasyon yaptirmak suretiyle dag evlerinde konaklamalari mumkundur. Ayrica Spil Dagi'nda gerekli mercilere bildirilerek kamp ve doga sporlari da yapilabilmektedir.Kaynak: https://www.instagram.com/birdublemavi/- https://www.instagram.com/demiryurek_45/
Mahmut Dağı;27.5331974,38.3334764;Mahmut Dagi, Kemalpasa, Izmir...Kaynak: https://www.instagram.com/b.akova/
Gölcük Yaylası Krater Gölü;29.0822911,39.1659545;Golcuk Yaylasi, Simav, Kutahya.Kaynak: https://www.instagram.com/memetuslu7/
Zeytinköy Köyü;27.772817,37.714881;HER GUN +1 KAMP YERI Zeytinkoy Koyu, Aydin.  : @1evren1ben
Bafa Gölü;27.4435043,37.5000571;Bafa Golu, (Aydin-Mugla) Buyuk Menderes Nehri deltasinin guneydogu kesiminde, Mentese Daglarinin icine sokulmus sig bir tatli su goludur.
Altınköy Plajı;26.7216615,38.2116653;Ucretsiz olarak kamp yapilabilmektedir. Tuvalet ve dus ihtiyaci hemen yakindaki beachten halledilebilir ama kisin acik mi cok emin degilim o alanlar. 1 km yakinda market var sahipleri de sevecen insanlar. Normalde orasi villalardan olusan bir tatil koyunun sahili ama kamp yapan bir suru insan oluyor 2 gece kamp attim cekirgeler haric hicbir problemim olmadi  Urla merkezden 13 14 km uzakta. Otobus ulasimi var mi bilmiyorum otostopla cok cok kolay gidiliyor insani cok iliman  Yaz sezonunda kofte ekmek tost vs yenilebilecek beach restorani var su haric nerdeyse her sey uygun. 15 lira kofte ekmek. Gayet de leziz yemekleri. Haftasonu sezon acikken gozleme ve manti bile yapiliyor  Golgelik alan da var. Ates yakilabilecek alan da.INSTAGRAM: https://www.instagram.com/ayakirasuszo/
Akkum Plajı;26.361352,38.6591138;Sarpincik Deniz Feneri/ Karaburun-IzmirBirkac yil once fotografini bir dergide gormustum.Ve bir gun mutlaka bu emektar deniz fenerini gormeliyim diyip aklima kazimistim.Bu yaz yaptigim ege turunda burayida ekledim.Aracla bile gidilmesi cok zor olan bu yere otostop cektigimiz Yusuf Abi sagolsun bizi goturdu.Yolu gercekten zorluydu.Ama oraya gitmeyi basarmistik WC yok, icme suyu yok, yakinda hicbir isletme yok, sadece kendi aracinizla ulasim saglayabilirsiniz, otostop neredeyse imkansiz.Soyle bir tarif etmek gerekirse  Karaburun Yeniliman'dan 12 km daha ileriye gidin.Yarimadanin uc noktasina yaklastiginizda Sarpincik Koyu tabelasindan sapin. Tepelere cikin ve en uc noktada karsiniza cikacak olan Sarpincik Deniz Feneri tabelasini takip edin.Bundan sonra daglarin arasinda toprak patika yoldan, ruzgar gulleri esliginde 12 metrelik beyaz kulesi ve bahce icinde fener evi ile Sarpincik Deniz Fenerine variyorsunuz. Bana kalirsa kesinlikle oraya gitmek degdi.Ozkan Gulkaynak, "Iskocya cografyasini andiran bir dogada, guzel bir yamacta konuslanmasi onu daha da cekici kiliyor" diyor. Gercekten de cok hakli oyle bir guzellige sahip.10 Ocak 1938 yilinda insa edilen deniz feneri Turkiye'deki 50 deniz fenerinden biri.Ve en iyi 10 fenerden biri olarak kabul ediliyor.Sessiz sakin bir yere kacmak icin cok ideal bir yer hemen asagisinda yuzebileceginiz bir koy bulunuyor ve tabi bolca huzur : https://www.instagram.com/ucurtmakiz
Sığacık Akvaryum Koyu;26.7656136,38.2173795;Sigacik Akvaryum KoyuKaynak: https://www.instagram.com/birbasinagezgin/
Kosova Plajı;27.2187674,38.5578394;Izmir Karagol Tabiat Parki deniz seviyesinden 850 metre yukseklikte olup,18.92 ha'lik alana sahiptir. Gol jeolojik hareketler sonucu olusmus heyelan set goludur. Orman ve gol kaynak degerine sahiptir. Tabiat Parki icerisinde ve cevresinde doga yuruyusu, foto safari, bisiklet gezintisi faaliyetleri yapilabilir. Sahada kir gazinosu (restaurant), bufe, piknik uniteleri, cadirli kamp ve karavan alani mevcuttur.Ulasim:Izmir Karagol Tabiat Parki Menemen Ilcesi Yamanlar Dagi mevkiinde yer almaktadir. Izmir il merkezine 35 km, Karsiyaka Ilcesi, Ornekkoy mahallesine 23 km uzakliktadir. Mevcut ulasim yolu asfalt kapli olup bol virajli ve her virajda muhtesem korfez manzarasina sahiptir.Kaynak: https://www.instagram.com/caansuukenar/
Delikli koy;26.3389385,38.2278227;Izmir'de Alacati'dan da uzaklasmak istemeyenlerin yeni adresi Delikli Koy. Delikli Koyu olarak da bilinen bu koy, Alacati ve Cesme'nin kacis rotalarindan birine donusurken cok guzel kamp yerlerine de ev sahipligi yapiyor.Kaynak: https://www.instagram.com/dilekvck/
Urla Demircili Koyu;26.6927433,38.2055101;Urla'nin Demircili Koyu oldukca sessiz,tertemiz bir plaji var. Demircili Koyu  Izmir'in Urla ilcesinin guney batisina dusuyor.Sigacigin da batisinda kaliyor. Yolu fena degil.Orman manzarasi icinde ilerliyorsunuz.Koyun icinden gecip bu koya ulasiyorsunuz.Kaynak: https://www.instagram.com/m.yareenn/
Karaburun İzmir;26.5125847,38.6384614;Izmir'de kamp yapilabilecek nadir yerlerden birisi Karaburun'dur.
Dolungaz Koyu;26.4897108,38.6618303;Dolungaz Koyu, Karaburun, Izmir.Kaynak: https://www.instagram.com/smztrk/
Boyabağı Koyu;26.5687609,38.560113;Boyabagi Koyu, Kosedere Koyu, Karaburun, Izmir...
Ayı Balığı Koyu;26.6174161,38.5295017;Mordogan, Izmir'in Karaburun ilcesine baglidir. Uzunada'nin tam karsisinda yer alir. Mordogan, ozellikle Catalkaya, Ayibaligi kayaliklari ve plaji, Ardic Plaji, amator balikciligi ve 70 cesit mor cicegi ile unludur. Kamp yapmak icin bir cok alan vardir.
Çiftlik Koyu Çiftlikkoy - Çeşme;26.287769,38.292389;Agaclarin altinda ucretsiz kamp alani.
Ildır Köyü;27.5651693,37.1280835;Kaynak: https://www.instagram.com/basriaydinmd/
Cennet Koyu;27.4128413,37.1177838;Cennet Koyu, Bodrum..
Gümüşlük Plaj;28.0987144,37.0332033;Akbuk Koyu, Mugla'nin Yerkesik belediyesine bagli, Gokova Korfezi'nin kuzey kiyilarinda, 1000 metre yukseklikteki Kiran daglari'nin eteklerinde genis ve derin koy. Mugla'ya 48 km. uzakliktadir.Kaynak: https://www.instagram.com/dlksrcnozel/
Akyaka;28.3160377,37.0492176;Kamp hayatimizin ilk denemesine ragmen soyleyebilecegimiz tek sey YOL ACIK YOLA CIK !  Kaynak: https://www.instagram.com/sezermuazzezmahan/
Nefes Adası;28.3440185,37.0327065;Nefes Adasi, Ula, Mugla.Kaynak: https://www.instagram.com/icimdekimarti/
Gökova Orman Kampı;28.3179611,37.0535955;Akyaka Orman Kampi, Akyaka'ya 600 metre Mugla'ya ise 36 km uzaklikta bulunmaktadir. Kamp alaninda doga severlerin tum ihtiyaci icin hizmetler mevcuttur. Denize sifir huzurlu bir kamp tatili yapmak isterseniz Akyaka Orman Kampini tercih edebilirsiniz. Dilerseniz kendi kamp ekipmanlarinizla dilerseniz ise isletmenin ekipmanlariyla kamp yapabilirsiniz. Rezervasyon yaptirmayi unutmayin.Kaynak: https://www.instagram.com/gezenleaskolsun/
Buldan Yayla Gölü;30.3789485,38.7883039;https://www.kampyerleri.org/afyonkarahisar-kamp-alanlari/
Akdağ Tabiat Parkı;30.0242119,38.3524181;https://www.kampyerleri.org/afyonkarahisar-kamp-alanlari/
Başkomutan Tarihî Millî Parkı;30.46915,38.6552544;https://www.kampyerleri.org/afyonkarahisar-kamp-alanlari/
Frig Vadisi;30.4410768,39.11283;https://www.kampyerleri.org/afyonkarahisar-kamp-alanlari/
Emre Gölü;30.4379235,39.1071246;https://www.kampyerleri.org/afyonkarahisar-kamp-alanlari/
Göynüş Vadisi;30.5227053,39.0489071;https://www.kampyerleri.org/afyonkarahisar-kamp-alanlari/
Ayazini Köyü;30.5783794,39.011388;https://www.kampyerleri.org/afyonkarahisar-kamp-alanlari/
Eber Gölü;31.1595842,38.6557155;https://www.kampyerleri.org/afyonkarahisar-kamp-alanlari/
Marmara Bölgesi;29.0454607,41.2510283;Istanbul Kilyos'ta bulunan  @dogadayasamokulu 'yla ilgili gozlemlerimizi aktardigimiz bir oneri dizisi olusturalim istedik. Simdi gelelim @dogadayasamokulu 'yla ilgili tavsiyelerimize  oncelikle boyle donanimli bir tesis olusturduklari icin @serhatakbel @ben_emresen ve yesim_okyay 'a ilgilendiren dolayi tesekkur ediyoruz... Sevdiklerinizle birlikte kamp yaparken cafe & restaurant bolumunde leziz yemekleri tadabilir, Son derece guvenli zipline macerasina ortak olabilir, Denize girerek, kumsalda voleybol oynayabilir, Bircok egitimi bu tesiste alabilir, Su ana kadar gordugumuz en hijyenik dus ve tuvaletlerde ihtiyaclarinizi giderebilirsiniz. Dilerseniz bireysel kamp, dilerseniz grup kamplarina katilabilirsiniz. Not: Kampa gitmeden once arayarak bilgi almanizda fayda vardir. Cunku kamp alani zaman zaman gruplara ozel olarak kapatilmaktadir. www.dogadayasam.com.tr 0532 385 8248   0216 709 71 23
İstanbulKamp;29.705289,41.159804;Istanbulkamp: Istanbul merkeze 70 km uzaklikta bulunan Kabakoz Koyu'nde bulunmaktadir. Sile'nin en temiz plajlarindan birisine sahip olan Kabakoz Koyu'nde bulunan Istanbulkamp'a isterseniz kendi aracinizla  isterseniz toplu tasima araclariyla gelebilirsiniz. Sile'de bulunan Istanbulkamp isletmesinde  bungalov konaklama, cadir kamp, plaj hizmeti (sezlong, semsiye), restaurant, otopark, WC, dus ve internet gibi hizmetler saglanmaktadir. Istanbul'dan fazla uzaklasmadan dogayla ic ice hem maviye hem de yesile doyarak ailenizle eglenceli bir kamp yapmak istiyorsaniz Istanbulkamp'i mutlaka tercih etmelisiniz. Istanbulkamp'ta konaklamanin yani sira restaurantinda yemeklerini de tatmadan gitmeyin.TELEFON: 0(536) 869 57 54WEB SITE: http://www.istanbulkamp.com/INSTAGRAM: @istanbulkamp
Ada Camping | Otel;26.6224339,39.3325909;ADA CAMP OTEL Cunda adasinin midilliye bakan sahilindedir. Ozel kumsal plajiyla Cunda tabiat parkinin ve yesilliklerin icinde dogayla ve denizle butunlesmistir. Golgelikli cadir alanlari disinda bungalow evleri ve karavanlari bulunmaktadir. Bungalowlarin tumu plaj kenarindadir. Iclerinde dus-wc, TV, onlerinde dinlenme balkonlariyla alisila gelmisin disinda aklinizda kalacak bir tatil ortami sunacak. Otel dahilinde plajda yer alan tam deniz manzarali ve aksam gunbatiminin en guzel izlendigi restoranda Turk mutfagi ve deniz urunlerinin keyfine doyamayacaksiniz. ADA CAMP otelde cocuklar icin oyun alani ,basket,voleybol sahasi ve 6 tonluk deniz akvaryumu yer alir. Tesisin bulundugu yer trekking , bisiklet , snorkelli yuzme, dalis ve olta balikciligi icin idealdir. Cunda merkez 3 km. havaalani 50 km. mesafededir. Bilgi ve rezervasyon icin iletisime gecebilirsiniz.Telefon: 0266 327 12 11WEB SITE: www.adacamping.comInstagram: https://www.instagram.com/adacampcunda/
Cevizli Bahçe Kahvaltı ve Kamp Alanı;29.218349,40.5573;HIZMETLERKahvalti, Gec Kahvalti ve Kamp HizmetiFIYATLAR:Serpme Kahvalti:Kisi basi 30 TL.Cadirli Kamp :Cadir yeri 20 TL. + Kisi basi 5 TL.Karavan veya Cadirli Arac :Arac yeri 30 TL. + Kisibasi 5 TL.KAMP ALANI IMKANLARI:Kamp Alaninda :Tuvalet, Elektrik, Icilebilir su, Ates yakma imkani ve yine Kampcilarin kullanabilecegi Buzdolabi vardir.Yiyecek Imkani:Kahvalti Hizmetimiz sadece Hafta sonlari ve tatil gunlerinde vardir. Bunun disindaki yiyecekleri kendiniz getirmeniz gerekmektedir.Kamp Alanina en yakin yerlesim yeri 4 km. uzakliktaki Kurtkoydur. Koyde bulunan bakkalda her turlu urunu bulamayabilirsiniz. Kampcilarimizin Yalovadan ihtiyaclarini temin ederek gelmesinde fayda vardir.Iletisim:Cep Telefon bazi yerlerde cekmektedir ve sabit telefon hatti yoktur.TELEFON: +90 541 973 43 42WEB SITE: https://kapilicinar.com/INSTAGRAM: https://www.instagram.com/cevizli_bahce/
Erikli Yaylası;29.0290225,40.5897999;Yalova'nin Cinarcik ilcesine bagli olan Tesvikiye Koyu'nun 6 km yukarisinda bulunuyor. Doga severlerin yaz-kis ugradigi Erikli Yaylasi'nin denizden yuksekligi tam 600 metre. Kestane, karaagac, ihlamur, koknar ve elma agaclarinin cevreledigi bir yuruyus parkuruna sahip Erikli Yaylasi. Bu yuruyus parkurunun en onemli ozelligi ise icerisine gizlenmis pek cok selale barindiriyor olmasi. Erikli Deresi'ni takiben yurumeye basladiginizda, doganin icine gizlenmis bu harika selaleleri kesfedebilmeniz mumkun. Kis aylarinda Erikli Yaylasi oldukca zorlayici olabiliyor. Bunu da dikkate almakta fayda var. Bolgede isletme disinda kalan yerlerde kamp yapilmasi yasak , koylunun tapulu alani olarak gecmektedir .Detaylar: https://www.kampyerleri.org/kirkahvesi-garden-camping-eriklide-sizleri-bekliyor/https://www.kampyerleri.org/erikli-selalesi-tabiat-park-kamp-alani/
Uludağ Çobankaya Kamp Alanı;29.1394919,40.1214277;Bursa'da kamp yapilacak yerler deyince akla ilk gelen Uludag olur. Uludag, dogasiyla herkesi kendine hayran biraktigi gibi ayni zamanda bunyesinde bulundurdugu goller, selaleler ve akarsularla da herkesin begenisini kazanmistir. Uludag 2.543 metre rakimiyla Marmara Bolgesi'nin en yuksek dagi olarak bilinir. Uludag'a cikanlarin gormesi gereken baslica yerler ise  Bakacak seyir terasi, Softabogan Selalesi, Goller bolgesi, Cobankaya kamp alani, Sarialan kamp ve gunubirlik alani olabilir.Detay: http://www.kampyerleri.org/uludag-cobankaya-kamp-alani/
Uludağ Sarıalan Kamp Alanı;29.1079974,40.1307387;Teleferigin son istasyonunun bulundugu 1.650 m. yukseklikteki Sarialan genellikle gunubirlik kullanim amaciyla tercih edilen bir yayladir. 350 unitelik cadirli kamp alani, 12 bungalov, 29 baraka, et-mangal lokantalari, hediyelik esya satis dukkanlari, cocuk oyun alanlari ile cami mevcuttur.http://www.kampyerleri.org/uludag-cobankaya-kamp-alani/
Softaboğan Şelalesi;29.141643,40.137432;Bakacak'in guneydogusundaki Dombay cukuru vadisinde kalan Softabogan selalesi yuksekten akmamasina ragmen kuzeye akan Kirkpinar derenin olusturdugu bircok selalenin en unlusudur. Cobankaya kamp alani karsisindaki Sultan Selim senaberligi (camligi) olarak da bilinen bolgenin kuzeyinde kalan selaleye akan derede cok sayida dogal havuz bulunur.Softabogan selalesi parkurunun girisi, Cobankaya kamp alanindan asfalt yola cikip sola, Bakacak istikametine dogru yurundugunde yaklasik 500 m. mesafede Orman mudahale araclarinin kullandigi toprak yoldur. Bodur Ardic'lar arasindan alcalarak cam ormanina dogru ilerleyen patika 850 m. Sonra Kirkpinar dereye iner. Patikanin sagindaki cesmenin bulundugu noktadan kuzeye uzanan genis alan ise Sultan Selim Senaberligi olarak bilinir. Derenin her iki yakasinda da bulunan patikalar takip edildiginde yaklasik 1.5 kilometre sonra Softabogan selalesine varilir. Softabogan selalesi adinin, Yavuz Sultan Selim'in taht mucadelesi yaptigi kardesi Sehzade Ahmet'in bes nefer biraderzadesini bir av sirasinda burada bogdurmasini nedeniyle verildiginden Solakzade tarihinde bahsedilir. Sultan Selim Senaberligi olarak bilinen sahanin adi da bu hadiseden kalmadir. Cam agaclari nedeniyle kuytu bir bolge halindeki Softabogan selalesi 1950 yillarindan gunumuze yaz aylarinda doga yuruyusculerinin yogun ilgisini ceker.Fotograf: Niyazi Solak - niyazisolak2@gmail.com
Belgrad Ormanı;28.9888859,41.1836765;Belgrad Ormani, Catalca Yarimadasi'nin en dogu ucunda, Istanbul ilinin Avrupa Yakasi'nda yer alan dogal olusumlu agaclik bolgedir. Dogusunda Istanbul Bogazi, kuzeyinde ise Karadeniz dogal sinirlaridir.Belgrat ormaniyla ilgili tum detaylara asagidan ulasabilirsiniz.LINK: https://www.dogadakiyabanci.com/belgrad-ormaninda-kamp/
Ağva Kilimli Koyu;29.8726952,41.1419986;Agva Kilimli Koyu, Istanbul'da yasayanlarin kesinlikle tercih etmesi gereken kamp yerlerinden birisidir. Kilimli Koyu'na ulasim hic de zor degil. Kilimli Koyu'na gitmek icin once Agva'ya ulasmaniz gerekiyor. Uskudar'dan kalkan 139A otobuslerine binerek  yaklasik 4 saatlik bir yolculugun ardindan Agva'ya ulasabilirsiniz. Otobus ucreti ogrenciler icin 9 TL, siviller icin ise 14 TL.Kaynak: https://www.instagram.com/oktayerkan.md/
Ömerli Barajı;29.3801998,41.0521852;Sehir merkezine 1 saat uzaklikta bulunan Omerli Baraji, Istanbul'a en yakin kamp yerlerinden birisidir. Omerli Baraji'nda kamp yapabilir, balik tutabilir, bisiklet surebilir ve trekking parkurlarinda yuruyus yapabilirsiniz. Ormanla ic ice baraj kiyisinda kamp yapayim istiyorsaniz Esenceli Koyu'nu tercih etmelisiniz. Istanbul'da ucretsiz kamp alanlari arasinda manzarasi en guzel noktalardan birisi olan Omerli Baraji, tum doga severlerin gormesi gereken dogal guzellige sahip.Kaynak: https://www.instagram.com/zamani.durduran.adam/
Hacıllı Köyü ve Şelalesi;29.7750306,41.0447441;Istanbul Sile'de bulunan Hacilli Koyu Istanbul'a 90 km yani 1,5 saat uzaklikta bulunuyor. Istanbul'dan iki sekilde gidebilirsiniz  birincisi Sile/Agva uzerinden, ikincisi ise Sekerpinar/Gebze uzerinden. Yollar asfalt yormuyor Sile'den sonra biraz virajli oldugu icin yavas gitmeniz gerekiyor. Kamp alanina kadar asfalt yolda gidiyorsunuz o yuzden binek arabalarla gidebilirsiniz. Koye geldikten sonra Selale tabelalarini takip edin, yol uzerindeki tabelalar sizi yonlendirecek. Neredeyse tum cevrede kamp yapma imkani var. Dere kenarinda kamp yapmak icin enfes yerler bulabilirsiniz. Yaklasik 1.5 km'lik parkurda kamp alanindan selaleye yuruyus yapabilirsiniz. Parkurdan ayrilmamak icin nehri takip etmeniz yeterli. Yaklasik 20 dakika suruyor. Selaleye ulastiktan sonra bir ustteki selaleye tirmanip  orada bulunan Gurlek Magarasi'ni gezebilirsiniz. Hacilli Koyu ve Selalesi'nde kamp yapmak ucretsiz, telefon cekiyor, internet cekmiyor. Ates yakabilirsiniz, WC yok, icme suyu yok. Kaynak: https://www.instagram.com/leimoonn/ https://www.instagram.com/hizlikosankaplumbaga/
Darlık Barajı;29.5801735,41.0948124;Darlik Baraji, Istanbul'da yasayanlarin rahat nefes alabilecegi ve huzura kavusacagi bir kamp yeridir. Darlik Baraji  kamp yapmak, doga yuruyusu yapmak, balik tutmak, bisiklet surmek ve ATV ile offroad yapmak icin oldukca elverislidir. Darlik Baraji'nda kamp yapilabilecek onlarca koy vardir. Darlik Baraji  Istanbul Sile'de bulunan Darlik Deresi uzerinde 1986-1988 yillari arasinda kurulmustur.  Ulasim: Darlik Baraji, Sile yolu uzerinde bulunan baraj gollerinden birisidir. Darlik Baraji ve Istanbul arasindaki mesafe 60-70 kilometredir. Istanbul'dan Sile Otoyoluna cikarak sirasiyla  Sultanciftligi Taslitepe Devlet Ormani, Alemdag Ormani, Avcikoru Tabiat Parki ve Yesilvadi'yi gecerek Darlik Baraji'na varabilirsiniz.  Darlik Baraji'nda kamp alani, otel, cafe, pansiyon vb. yapilar bulunmuyor. Fakat Darlik Baraji'nin istediginiz koyunda ucretsiz sekilde kamp yapabilirsiniz. Gittiginiz yerleri temiz birakmaniz kaydiyla ! Barajda  tuvalet, konaklama yeri, elektrik, icme suyu, internet ve dus imkani bulunmuyor.Kaynak: https://www.instagram.com/sserkankocer/BLOG: https://www.kampyerleri.org/darlik-baraji-kamp-deneyimi-istanbul/BLOG 2: https://www.kampyerleri.org/darlik-baraji-kamp-alani/
Ballıkayalar Tabiat Parkı;29.5167553,40.8331401;Ballikayalar Istanbuldan ulasilmasi zor olmayan ve huzur icinde jakuzi tadindaki selalede bolca vakit gecirebilirsiniz :) kanyonda 3 saat yuruyerek macerali bir yolda gunun mutluluguna eriyorsunuz.Ballikayalar Tabiat Parki, Tavsanli Koyu Kocaeli'nin Gebze ilcesinde bulunan doganin icerisine saklanmis Turkiye'min sayisiz guzelliklerinden bir tanesidir. Daglarin arasindan suzule suzule akan akarsuyu ve bir cok selalesiyle asagida biriken kucuk goleti tam bir doga harikasini yansitiyor. Kisaca bir cok kucuk selaleden olusan Ballikayalar Tabiat Parkina vadi ya da kanyon diyebiliriz. Fotograf: Abdurrahman Demirci
Sardala Koyu;29.9618304,41.1390495;Agva'ya ulastiktan sonra Kerpe istikametine dogru giderken once Bucakli koyunden ardindan Kadikoy ve Pinarli koyunu gececeksiniz. Pinarli koyunu gectikten 4 km sonra(burasi toprak yol) yol sola orman icerisine girecek. Biraz daha bozuk olan bu yoldan asagiya dogru devam edince yaklasik 1 km sonra Sardala koyuna ulasacaksiniz. Sardala koyuna vardiginizda arabanizi birakabileceginiz uygun yerler var.Kaynak: https://www.instagram.com/selimbrkc/https://www.instagram.com/yagmurmlk/
Sansarak Kanyonu;29.822731,40.4905652;Sansarak kanyonu, Sansarak, Iznik'te bulunan turistik kanyondur. Marmara Bolgesinde tur duzenlenebilen trekking parkurlari arasinda en zorlularindan birisidir. Kamp yapmak icin harika bir yerdir.Kaynak: https://www.instagram.com/tantin34/
Polonezköy Tabiat Parkı;29.162967,41.1081657;Istanbul'un il tabiat parki olma ozelligini tasiyan bu yer 1994 yilinda tabiat parki olarak ilan edilmistir. Yaklasik 3000 hektar alani kaplayan park, gunumuzde Istanbul'un en buyuk tabiat parki olma ozelligini de tasimaktadir.- Park pek cok yabani hayvana ev sahipligi yapmaktadir.- Park ayni zamanda bitki cesitliligi bakimindan da oldukca zengindir.- Piknik: Hazirlayin piknik sepetinizi ve yasanabilecek en guzel hafta sonlarindan birine adim atin.- Bisiklet: Alan icerisinde bulunan arac yollarini kullanarak doga ile ic ice bisiklet surmenin tadini cikarabilirsiniz.- Yuruyus & Kosu: Tabiat parki olur da yuruyus & kosu parkuru olmadan olur mu?- Kamp: Parki cok begenip burada bir gece gecirmek isteyebilirsiniz. Tabi otel ve pansiyon secenekleriniz de mevcut ama cadirli kamp boylesi bir atmosfere daha uygun gibi. Yine de secim sizin. Tabi kendi cadiriniz olmasina da gerek yok. Burada cadirli kamp hizmeti veren bir isletme var.- Kahvalti: En guzel kahvalti mekanlari Polonezkoy'de sizleri bekliyor. Bazi mekanlarin fiyatlari yuksek olabiliyor bu yuzden gideceginiz yeri onceden arastirmanizda fayda var.
Ağva Denizli Köyü;29.7869825,41.0915135;Istanbul'da kamp yapmak icin ideal koylerden birisi olan Denizli Koyu mukemmel bir dogaya sahiptir. Agva, Goksu, Denizli Koyu.Kaynak: https://www.instagram.com/dogadabirseyyah/
Bıçkıdere;29.4761,41.0695;Istanbul'da sessiz bir koyde kamp yapmak isteyenlerin gormesi gereken bir koy olan Bickidere Koyu, tum dogalligiyla doga severleri bekliyor. Omerli Baraji'ni besleyen Bickidere, kamp ve doga sporlari yapmak icin harika bir kacamak noktasidir. Bickidere'de guzel bir noktada kamp yapmak icin "N 41.051909 E 29.468966" koordinatlarina goz atabilirsiniz.
Çilingoz Tabiat Parkı;28.2191992,41.5242745;Cilingoz Tabiat Parki, Karadeniz'in Bati kiyisinda Catalca-Yalikoy tarafinda bulunan, Istanbul sehir merkezine cok da uzak olmayan, sakin, cok cesitli etkinliklerin yapilabildigi bir doga harikasi ve mesire alani olma ozelligini tasimaktadir. Her iki taraftan kayaliklarin cevirerek sakli bir cennet olusturdugu kumsal ve denizin temizligi, farkli morfolojik yapisi, mavi ile yesilin essiz bicimde harmanlanmis olmasiyla kendisine hayran birakan bir yapiya sahiptir. Mili Parklar Mudurlugu'ne bagli ve ozel bir sirket tarafindan isletilen alan yaklasik 18 hektar olup giris, konaklama ve kamp kurma ucretlidir.
Şile Saklı Göl;29.5936382,41.1194928;Sakli Gol, Karamandere Koyu, Sile, Istanbul.Kaynak: https://www.instagram.com/siempretarik/
Kabakoz Köyü Plajı;29.7069504,41.1590097;Sile Kabakoz Koyu'ne bagli plajin yakininda kamp ve piknik alanlari bulunuyor. Ayni zamanda plajda restoran ve kafeler hizmet veriyor. Alanda ucretli kampinglerde bulunuyor.
Akçakese Plajı;29.7324036,41.1551152;Akcakese, Istanbul'un Sile ilcesine bagli bir sahil mahallesidir. Koy Istanbul'a 60 km, Sile'ye 17 km uzakliktadir. Kamp ve doga sporlari yapilabilir.
